id,name,salary,birthdate,hiredSince,FK_company,FK_pensionFUnd
460,Adriano Delacourt,28559.66,1977-12-23,1990,236,59
461,Nollie Possel,17722.91,1999-05-18,1995,243,39
462,Yancey Stoltz,25814.07,1980-03-08,1982,8,3
463,Kliment Skryne,28559.28,1998-09-07,1986,120,68
464,Oriana Lenaghen,18445.84,2000-10-12,2006,452,33
465,Saidee Lathee,12239.41,1978-04-22,1996,201,38
466,Hillie Stainburn,46962.21,1998-03-10,2016,384,20
467,Cristionna Duny,19813.29,1961-09-20,1990,182,49
468,Armin Cicullo,24877.32,1963-08-22,1986,159,34
469,Abramo Pumfrey,10238.68,1996-04-22,1979,119,75
470,Adda Eddleston,41080.65,1989-08-23,1983,70,20
471,Lauretta Mattinson,47589.43,1990-02-05,2019,138,19
472,Dicky Fardoe,11969.04,2005-05-20,2008,235,23
473,Trev Larcier,24060.85,1999-04-21,2003,244,65
474,Thayne Murphy,24019.86,1964-08-04,2013,9,54
475,Addison Leckie,32197.2,1988-01-25,2003,395,16
476,Shell Dabrowski,22551.97,1994-06-06,1979,468,61
477,Kendra Bediss,16192.98,1967-10-11,1996,186,9
478,Biron MacNeillie,42060.45,1961-09-05,2004,439,71
479,Lauritz Rowbottam,13622.26,1979-01-10,1986,478,14
480,Yehudit Quilliam,31675.2,2014-12-15,2003,82,72
481,Pavlov Tappor,34593.8,2013-01-29,1990,153,34
482,Arlena Mixer,45698.37,1999-04-06,1999,387,30
483,Onofredo Risbrough,32612.2,1980-04-22,1988,423,36
484,Inesita Handy,27702.59,1985-12-31,2000,290,68
485,Sibyl Shackleford,24467.38,2008-05-05,2007,344,11
486,Gunilla Reid,19430.82,1987-03-05,1985,247,40
487,Halimeda Niccols,16642.15,1996-03-13,1994,205,3
488,Bethina Vowels,32344.76,1963-02-10,1978,18,55
489,Katie Berardt,33419.95,1964-05-10,2005,397,55
490,Robin Janoschek,22472.12,1976-07-29,2010,122,4
491,Carny Embery,26246.92,1985-05-13,2005,181,41
492,Agneta Duran,29751.69,2002-10-08,1984,295,19
493,Sandy Gadault,21290.2,1969-05-05,2015,315,12
494,Charley Snipe,20209.6,1972-08-16,1992,242,32
495,Luce Santus,25716.03,1967-07-15,1990,431,33
496,Prentice Sherland,34506.61,1999-10-09,2015,497,5
497,Radcliffe Cregg,10852.5,1967-09-23,2012,122,18
498,Judye Clemow,26176.12,2008-05-04,2008,283,1
499,Nathalie Stormont,41402.8,1985-04-27,2006,167,65
500,Kristoffer Bellee,42855.27,1985-07-15,2012,223,60
501,Derry Penvarden,12307.21,1980-12-08,2016,356,11
502,Becky Staten,21539.88,1997-09-06,2018,404,25
503,Catlin Devorill,21437.27,1977-09-02,1984,294,42
504,Arabella Tatters,17115.75,1991-10-18,2013,326,49
505,Elyse Aucoate,33523.68,1982-08-09,1990,423,70
506,Merrick Grayham,31587.09,2002-01-04,2001,103,32
507,Petra Folbig,22149.22,1982-06-07,2012,270,10
508,Kristos Filkin,46194.12,2008-08-15,2010,203,54
509,Sherwood Van Arsdalen,46856.53,2005-02-10,2000,335,71
510,Avrit Skittrall,41371.74,2014-04-04,2014,262,63
511,Tammy Mewrcik,37377.89,1995-06-11,2012,370,23
512,Rosalie Bauduin,10944.16,1988-03-12,1996,328,31
513,Ode Jaukovic,27485.99,2014-01-24,2002,63,24
514,Viole Farnish,40490.49,2002-03-08,2004,237,39
515,Vidovic Hail,20001.7,1991-09-24,2001,442,35
516,Fair Wetherell,28792.95,2012-05-20,2015,146,64
517,Melisande Champkins,27647.46,2006-04-01,1994,179,8
518,Whitney Tunniclisse,46744.44,1968-02-23,1997,250,46
519,Aleen Tubritt,49192.73,2010-09-01,1976,369,29
520,Durand Dabs,41542.7,1972-01-12,1982,315,50
521,Tirrell Raeside,47379.48,1973-06-17,2017,131,16
522,Joelie Lightning,12267.62,1987-03-30,1993,288,37
523,Claudette Clemerson,41697.58,1987-07-12,1995,171,74
524,Hyacinthie Speechly,37378.26,1960-01-28,1990,369,40
525,Burty Villiers,17325.06,1962-08-10,2016,50,6
526,Laurette Sidlow,26559.7,1969-01-26,1985,407,2
527,Ainslee Brass,14761.42,1991-08-17,2019,237,28
528,Mellicent Forrest,42736.9,1961-10-25,1988,250,73
529,Donia Soot,14839.09,2002-02-17,2012,16,66
530,Bret Garlette,35363.77,1967-05-25,2005,350,57
531,Emmye Litchmore,25284.97,2000-08-25,1984,332,44
532,Valentine Baggiani,23086.73,1981-11-09,2012,17,31
533,Myriam Etherson,45192.78,2012-11-03,1978,212,56
534,Brook Hambrick,31582.31,1971-06-13,1977,477,20
535,Otes Phythean,47197.34,1971-09-20,2010,82,15
536,Tisha Dolden,10252.76,2008-09-07,1986,339,65
537,Theda Monget,31174.51,1985-09-21,1983,400,2
538,Chelsae Dimberline,14186.67,2005-09-29,2000,338,57
539,Buddy Kennifick,22124.71,1962-07-02,2003,205,4
540,Alfred Marushak,30054.09,1981-12-28,2004,69,7
541,Onfroi Reyner,48601.4,2005-01-30,2003,5,28
542,Jamey Deller,48394.1,1975-04-07,2013,317,32
543,Shannen Braghini,10583.05,1989-12-26,1983,67,16
544,Elaina Girardeau,28585.98,1972-01-24,2015,408,57
545,Nobie Kuhnhardt,13698.46,1986-01-13,2008,184,17
546,Farrand Dybbe,14004.07,1962-01-27,1996,55,2
547,Elaine Moorhouse,45836.94,1997-10-22,2014,119,15
548,Jerrine Iannelli,16584.72,1967-06-12,1988,297,62
549,Ruthy Divina,24796.53,2002-01-02,2002,252,61
550,Khalil Delph,36708.85,1966-10-21,1993,142,64
551,Normy Huntingdon,47329.63,2014-08-31,2020,65,3
552,Chaddie McGucken,21523.08,1984-03-24,1994,328,71
553,Jasmina Iley,17489.69,1970-05-06,1986,113,24
554,Steward Taylor,17859.02,1968-03-26,2004,339,20
555,Latashia Bazley,17397.47,2010-11-11,1988,202,75
556,Gunther Siderfin,28826.31,1997-03-09,1987,205,10
557,Avis Curnucke,40546.5,1966-09-14,2018,132,28
558,Cyndia Cruddas,24374.55,1986-06-20,2010,282,53
559,Gilly Spary,16966.98,1975-12-11,2012,207,11
560,Pavla Petrussi,43006.2,1964-12-19,1983,439,71
561,Rowena Goodyear,34473.54,1997-02-01,1987,431,38
562,Gerhardt Boatwright,21619.73,2012-06-01,2007,52,8
563,Vivia Fitchew,37434.96,1971-08-26,2020,392,37
564,Pooh Wartnaby,19203.57,1987-09-20,2004,445,19
565,Emory Klesel,35012.12,1964-03-05,2020,267,25
566,Floris McGerr,10069.08,1969-09-08,1999,282,32
567,Marlin Hartley,37242.42,1981-09-02,2020,126,60
568,Nana Gyngell,16109.57,2012-05-07,1982,311,47
569,Helga Simper,36480.46,1978-04-05,1983,344,42
570,Charin Barrar,14156.86,1994-08-11,1994,185,59
571,Dante Thomann,14974.91,2002-11-17,2005,97,73
572,Melosa Godrich,15574.2,1973-07-15,2014,91,13
573,Maryjo Trayton,18638.04,1991-07-08,2019,63,42
574,Brietta Beedle,20370.02,2011-09-09,2011,415,47
575,Kiersten Byneth,45230.38,2001-05-20,1995,475,26
576,Darelle Wardle,28755.54,1972-01-24,1977,356,71
577,Kordula Trunby,11559.66,1991-03-25,1998,135,73
578,Craggie Fairman,40141.98,1961-05-04,1991,50,33
579,Sven Spalding,30760.92,1972-03-06,1994,493,37
580,Kerry Colcutt,41998.59,1963-03-01,1975,297,19
581,Gussi Izon,48383.21,1963-08-30,2002,267,59
582,Eileen Lang,39242.99,1962-06-09,1989,332,17
583,Natasha Mc Kellen,15608.13,1990-04-08,1986,74,35
584,Alvy Crabbe,21548.2,1998-12-06,1997,147,39
585,Farah Permain,19124.24,1996-07-08,2005,11,34
586,Adara Darke,25657.27,1972-07-13,1985,418,72
587,Joeann Rendbaek,40335.59,2011-10-09,1997,55,15
588,Wallis Grieveson,14002.73,1960-04-17,1989,83,52
589,Katharina Stoggell,17100.07,1978-11-23,1999,92,65
590,Elmo Newis,22569.48,1968-01-05,1980,270,56
591,Philippe Romi,24108.39,1964-02-04,2011,412,12
592,Marta McDill,11443.5,2008-09-01,2007,329,43
593,Dani Endacott,31768.83,2009-10-25,2014,134,43
594,Fey Bernlin,17378.03,2009-02-22,1999,106,34
595,Debee Hecks,12479.19,1969-07-19,1998,148,19
596,Cele Paula,22706.29,1985-07-31,1989,41,72
597,Ketty Senussi,21385.14,1971-02-27,1983,61,49
598,Feodora Pantry,47449.56,1998-03-12,1978,417,59
599,Linzy Julyan,10262.06,2006-04-14,1994,108,15
600,Bartholomeo Moxham,22797.24,1999-08-04,1978,147,62
601,Jarrett Pomfret,10458.53,2007-09-29,1979,470,53
602,Babara McClifferty,13582.24,1961-08-01,2005,486,23
603,Aurelia O'Flannery,37441.47,1984-03-18,1985,355,73
604,Amie Orthmann,38456.44,1972-10-28,2017,186,42
605,Frannie Pedrollo,42380.44,1970-04-13,2002,84,36
606,Fernande A'Barrow,48420.47,1964-06-19,1984,419,23
607,Rosa McCuish,38373.33,2013-11-05,2020,178,11
608,Amil Klainman,39001.37,2007-05-14,2018,452,20
609,Ruddy Lindley,32644.39,1970-04-10,1980,354,29
610,Jacinta Lumsden,15057.63,1960-02-05,1991,446,33
611,Natty Rostern,23103.87,2005-11-23,2021,130,10
612,Humfrid Geraghty,47774.53,1969-03-07,1979,168,41
613,Bella Rao,25646.58,1968-12-19,1976,117,48
614,Pennie Jedrzejkiewicz,41723.79,1970-12-16,1976,205,6
615,Consuela Halliberton,42961.34,1990-12-16,1980,140,5
616,Yvette Fysh,41024.32,1975-10-10,1980,362,19
617,Gwenny Farlane,45011.35,1994-05-21,2012,464,65
618,Ethelyn Kears,34917.75,1972-07-19,2009,478,30
619,Mortie Phoenix,13111.52,1975-07-07,2012,287,73
620,Mathilda Lackey,45514.27,1981-12-15,1994,83,75
621,Les Tortis,10566.84,1999-02-24,2009,113,7
622,Glennis Ortells,19525.83,1960-10-23,2003,364,34
623,Allina Bailess,38896.34,1969-09-18,1995,228,36
624,Lydie Harmond,24590.86,1980-09-13,2011,429,30
625,Clarance Coit,49144.11,1988-12-15,1981,325,40
626,Jeralee Mapples,49083.2,1976-01-08,2002,214,41
627,Pierce Snashall,45172.94,1980-07-15,2009,193,23
628,Dimitry Fieldsend,21359.25,1987-12-10,2000,130,46
629,Aguste Rugieri,16823.63,2005-02-05,2019,71,5
630,Nanine Musson,28029.57,2003-08-09,2009,370,4
631,Patience Hundal,12112.73,2012-09-24,2008,16,70
632,Rosy Carlan,49467.05,2012-03-09,2011,487,1
633,Bronny Byrne,49312.84,1977-09-08,2009,324,41
634,Jewel Dulling,25039.97,1992-08-04,2015,60,25
635,May Dosedale,47555.19,1973-11-23,1991,149,2
636,Vida Reddell,33451.87,1995-10-26,1980,80,63
637,Andreana Orange,10090.31,1966-11-21,1986,440,18
638,Viole Clever,45595.48,1960-12-07,2019,470,34
639,Jack Stoll,29624.41,2013-10-28,1990,373,66
640,Royal Labet,25638.41,1965-04-20,2016,172,47
641,Joceline Bickford,19543.21,2004-03-20,1998,474,4
642,Tanner Goodfellow,23411.19,1970-03-08,1985,323,54
643,Derk Denton,17103.03,1987-04-16,2000,9,47
644,Jolene Griffithe,31008.22,2003-12-13,1977,159,72
645,Nadiya Diggens,25420.44,2004-04-06,2016,416,13
646,Horatius Junkison,36691.48,1998-08-30,2014,3,6
647,Gretel Mowatt,18802.32,2013-05-18,2013,311,24
648,Gery Biaggetti,21981.6,1972-04-28,2013,37,28
649,Patrice Tallquist,44412.05,1998-04-18,1992,15,54
650,Reynolds Loughlin,18722.46,2001-08-11,2001,79,57
651,Audry Koubu,23294.81,2003-09-02,2020,133,20
652,Anjela Gargett,32668.98,2003-10-29,1995,453,66
653,Simonette Carlan,21340.41,1977-05-07,2000,159,35
654,Sutherland Bartolomeo,42255.79,1984-01-18,2001,322,64
655,Hogan Peron,29545.66,1973-03-16,2018,387,16
656,Marcy Phizaclea,37722.94,2006-04-13,1994,229,43
657,Robby Harlow,12525.59,1976-05-22,2017,198,60
658,Remus Shooter,14916.21,1987-06-18,1975,497,58
659,Theodora Milington,23689.71,1978-09-23,1999,272,25
660,Wood Prosek,36169.53,1987-02-26,1993,41,67
661,Jannel Primett,44254.29,1995-08-21,2003,46,62
662,Inesita Hertwell,43021.14,1981-01-21,1999,191,73
663,Nels Hensmans,26484.95,1999-08-25,1979,89,72
664,Conant Lavies,45105.27,1985-07-11,1979,227,73
665,Bryce Agate,35376.12,2008-11-06,1990,4,58
666,Gretel Korneev,36481.01,2013-11-15,1991,44,63
667,Peri Bilam,27687.07,1992-07-12,2004,385,50
668,Keri Hollyar,38714.19,1993-12-31,2019,230,37
669,Darrelle Giovannelli,26946.32,1964-10-29,1999,430,15
670,Georgy Zavattero,36293.62,1988-06-09,2020,140,63
671,Moyna Lyes,30920.82,1962-09-17,2007,480,35
672,Jimmy Zanolli,48947.57,2008-02-19,1995,131,35
673,Elyssa Tanslie,14872.08,1976-09-18,1991,302,29
674,Jillene Pideon,30291.66,1966-05-27,1996,452,26
675,Alverta Dover,41307.01,1963-10-27,1998,435,47
676,Albertine Sherman,40986.61,2004-10-28,2006,461,16
677,Corbie Tidswell,16153.8,1962-08-25,2008,147,35
678,Patsy Antliff,21260.82,1961-07-03,2019,495,21
679,Marcellus Sewley,32985.03,2002-12-03,2021,153,4
680,Bartolomeo Douberday,10894.89,2014-07-04,1985,215,12
681,Benjy Parriss,49542.21,1967-11-28,2001,405,62
682,Gunner Sabatini,19737.37,1996-09-08,2020,344,40
683,Selig Whyberd,43052.39,1996-05-22,1988,175,12
684,Jarvis Taaffe,38034.78,1962-11-17,1994,331,17
685,Jacynth Albery,29166.22,2010-08-29,1978,192,65
686,Edsel Foston,40927.1,1986-11-06,1981,480,53
687,Cherilynn Lots,41727.36,1979-03-02,1975,153,12
688,Elfrieda Bampford,21404.7,1987-11-12,1998,278,14
689,Addi Nulty,25913.38,1985-01-19,1998,433,57
690,Misha Bannester,49744.62,1989-02-09,1998,481,8
691,Gabriel Tumility,40135.51,2014-10-07,2000,155,37
692,Bevvy Botley,27336.04,1960-08-12,2010,24,64
693,Barret Hadwen,25332.45,1985-08-09,1978,419,25
694,Tatiana Alty,28871.25,1973-01-25,2012,283,61
695,Doroteya Mocker,20780.18,1981-10-23,1987,208,46
696,Heath Laister,25638.66,1968-09-09,1993,111,27
697,Sherrie Culligan,34972.15,2002-10-09,2017,348,41
698,Stacia Meeus,21810.67,1967-05-12,1989,110,70
699,Darelle Leates,21157.05,1975-12-15,2018,3,35
700,Allin De Blasio,36590.97,2002-09-04,1990,243,18
701,Bev Falconbridge,40361.27,1980-08-28,1975,483,69
702,Louis Gallemore,15498.69,2006-03-21,2001,70,8
703,Anatole Tully,37972.27,1961-12-15,1984,268,26
704,Rosco Hancorn,48411.56,1997-05-12,2015,95,22
705,Haily Manach,29561.46,1985-10-09,1997,175,15
706,Aurelie Fuller,41440.4,1970-10-24,1978,417,52
707,Madel Latliff,17877.62,1967-06-09,2007,364,27
708,Dianna Carmont,16388.45,2013-06-22,1985,63,28
709,Jermaine Klehyn,36022.0,1998-12-21,2014,33,32
710,Ameline Michelin,45236.04,1980-01-07,1994,31,72
711,Lonna Hamby,16336.94,1989-07-26,1997,435,7
712,Ring Menel,28675.55,1975-02-27,1988,385,72
713,Lonnie Iacovides,19867.95,1984-12-20,1981,449,35
714,Harwilll Craufurd,34477.23,1970-11-24,1985,431,7
715,Vittoria MacAleese,13887.33,1970-01-02,2002,54,15
716,Rebekkah Risson,39357.48,2006-03-24,1998,414,21
717,Daryle Galliver,22994.98,2014-09-11,1997,310,13
718,Alida Accomb,14696.5,2002-04-02,2008,196,31
719,Marget Ferrettino,29638.44,2011-04-17,2002,307,32
720,Ivonne Gauden,40921.66,1995-05-22,2012,433,36
721,Cesya Callis,35491.07,1988-08-09,1998,232,43
722,Shoshanna Gradly,15884.55,1993-11-10,1986,132,57
723,Courtney Pipkin,20185.53,1995-10-25,1996,56,68
724,Glyn Beecroft,43938.85,1993-06-05,2016,253,42
725,Parke Norssister,45700.52,2000-06-05,2008,418,61
726,Vilma Giffard,36598.52,2012-12-25,1993,158,51
727,Gunther Marking,12524.46,1979-04-15,1986,437,67
728,Sheffield Vallery,46529.71,1967-06-02,1975,175,28
729,Susi Fuidge,40337.07,1966-02-13,2012,212,5
730,Stephan Norcott,21462.59,1961-12-18,2012,440,24
731,Fayre Lago,46596.82,1961-08-13,1979,223,43
732,Maxine Ashborne,32494.82,2011-07-27,2013,243,14
733,Charlot Tapscott,34702.05,1988-07-16,1991,48,9
734,Garreth Gascoigne,40316.42,1982-04-28,2021,231,36
735,Danyette Panchen,42812.22,1973-11-20,1988,458,19
736,Brittni Treneer,10930.85,1960-09-14,2013,227,46
737,Nessy Perche,46693.94,1995-05-21,1981,242,11
738,Ali Maliphant,28705.94,2011-03-10,2013,38,69
739,Alayne Fallawe,26200.41,1978-04-25,2009,114,34
740,Aida Shimuk,20400.56,2010-10-21,2004,402,70
741,Janka Van Dijk,28587.02,2002-03-28,2004,79,9
742,Torrin Desorts,41188.21,2010-04-18,1993,151,36
743,Clevey Earengey,31886.65,2013-04-13,1995,402,41
744,Ladonna Ivanyukov,27911.87,1975-12-27,1982,143,23
745,Maressa Lewnden,13291.67,2004-05-22,2012,463,41
746,Bendicty Merrill,41595.69,2005-08-21,2006,58,18
747,Valry Starmer,24974.59,1995-06-03,2012,391,43
748,Jerrilyn Keeves,29049.25,1983-02-11,2012,76,65
749,Morgen Cosins,24344.74,1978-01-03,1979,431,52
750,Wilmar Dwelly,44828.4,1982-09-30,1979,87,26
751,Meade Roostan,42294.01,2011-07-15,1983,24,40
752,Dorthea Galego,41773.57,2004-01-03,2011,171,63
753,Corabel Moorcroft,23351.51,2001-02-24,1987,28,8
754,Teddy Chandler,46522.32,1961-02-11,1995,65,50
755,Davidde Arlott,37174.88,1975-07-28,2016,388,47
756,Niki Plose,29075.83,1988-01-07,2014,158,30
757,Alvin Balden,47298.26,2007-06-06,2002,184,43
758,Berkeley Norrington,30893.7,2003-06-18,2014,226,18
759,Aurelea Lampen,35155.78,1985-07-24,2000,463,21
760,Sena Pammenter,17219.77,2003-09-10,2010,498,19
761,Barrie Renfield,22676.18,2012-04-16,1976,392,61
762,Shepherd Roddan,40840.26,1972-02-21,1977,468,11
763,Scotty Scarse,37983.35,1975-05-21,2002,308,6
764,Ryun Do Rosario,34831.06,1984-12-22,2005,389,68
765,Glynis Sanderson,16679.36,1996-12-11,1996,122,60
766,Christy Bradly,33199.49,2010-10-30,2001,416,69
767,Raymund Ivanyukov,20922.11,1973-04-04,2011,273,34
768,Constantine Jedraszek,11544.86,2005-08-01,1975,424,10
769,Celina Heephy,20916.1,1999-06-10,1986,332,62
770,Susana Haythorn,17308.94,2000-11-29,2010,209,55
771,Gabrila Boost,15874.7,1965-08-27,1981,274,25
772,Juliet Castelow,27198.27,1980-07-10,2007,165,72
773,Claudio Leebetter,12678.36,1963-01-19,1978,64,50
774,Alexio Aristide,10381.57,1966-02-26,1984,212,25
775,Lucian Tanti,17273.39,1967-12-29,1993,420,8
776,Ivette Aujean,37733.15,1978-01-23,1998,8,40
777,Terencio Jasik,35467.8,2005-07-03,1999,276,64
778,El Mcimmie,31331.08,1997-03-05,2006,84,54
779,Burg Bendall,24143.99,1987-12-03,1998,257,8
780,Terrie Limbourne,45079.21,1996-04-04,2019,99,23
781,Solomon Deeprose,46278.07,1990-04-19,1978,79,12
782,Cesar Chardin,48313.47,1969-01-19,2001,330,44
783,Lacee Knowles,30587.23,2005-09-23,1978,50,28
784,Crysta Larchier,20217.66,1977-02-19,2017,154,5
785,Celisse Christon,13032.09,1983-10-17,2015,472,44
786,Jereme Lindhe,48719.41,1978-12-13,2011,266,58
787,Simone Pariso,35893.02,1977-10-16,1979,487,15
788,Forrest Ruller,24757.28,2013-09-12,1979,288,22
789,Katie Creebo,17072.03,1979-11-25,2014,173,53
790,Brinna Conring,18374.77,1999-08-23,2013,157,66
791,Early Franssen,26789.89,2012-08-19,1991,474,13
792,Kristoforo Sheward,49608.03,1981-03-03,2002,213,66
793,Garold Clerke,46661.52,1994-07-30,2000,36,56
794,Sheilah Leggen,48124.52,1965-03-14,1986,311,4
795,Theo Balm,30641.19,1976-11-20,1996,408,20
796,Elwood Fudger,39228.54,2010-06-23,2016,340,7
797,Kennie Burnup,42106.8,1965-09-07,1999,51,43
798,Brana Ebben,42183.85,1981-06-09,2017,431,7
799,Celle World,29138.74,2007-05-06,1977,28,30
800,Jackquelin Warrick,15166.46,1989-04-16,1998,83,41
801,Darcee Piatek,24428.56,1993-03-27,1975,71,18
802,Frankie Thaxter,26851.85,1962-12-25,2009,467,1
803,Christie Ickovicz,18327.14,1999-07-07,2019,278,23
804,Benoit Munroe,11629.04,1988-08-22,1997,97,52
805,Karna Causon,31399.71,1978-06-28,1992,465,10
806,Thaxter Goodspeed,44181.31,1965-12-29,1980,391,49
807,Perry Kovelmann,18920.84,1981-06-21,2017,62,59
808,Nannie Coverley,16231.15,2013-03-07,1975,393,56
809,Stoddard Goodwin,29356.39,1973-12-20,1981,319,35
810,Lily Stothard,27489.25,1973-01-05,2009,362,31
811,Celka Osanne,21357.43,2006-10-20,1998,477,4
812,Pippy Kingdon,35225.83,1994-11-26,1999,43,33
813,Bret Terne,15196.03,1996-09-06,2013,177,54
814,Nesta Stanley,39414.61,1983-08-11,1995,332,28
815,Clarette Bridywater,21608.17,2002-03-26,1989,425,3
816,Arleta McSperron,43817.88,1972-11-20,1997,254,26
817,Wally Moulin,44653.31,1994-02-16,2015,397,56
818,Zebadiah Ambrosoni,43706.29,1990-01-31,1990,72,26
819,Odille Dreher,20313.55,1965-09-18,2002,401,62
820,Ryann O'Farris,19488.46,1998-02-09,2009,13,34
821,Rustin Siemons,33970.16,2008-11-14,2005,462,14
822,Chicky De Blase,30813.25,1968-04-25,1988,14,13
823,Lucien Doornbos,36869.94,2007-01-07,2006,322,65
824,Eugine Trehearn,38170.32,1983-11-30,1987,312,27
825,Ashley Peaurt,34983.22,1969-06-12,1998,151,9
826,Antoine Polak,40204.4,2007-07-29,2004,499,56
827,Miran Pylkynyton,45885.11,2004-09-28,1989,35,13
828,Jeralee Magne,35657.37,2013-07-03,1976,172,53
829,Clari Mynott,11106.27,2013-12-07,2006,100,52
830,Garald Bergstrand,22005.09,1966-10-02,1975,195,16
831,Celie Rubbens,44835.1,1996-05-21,1977,129,70
832,Idelle Tidbald,48648.09,1965-09-04,1985,332,43
833,Guglielma Yosselevitch,25121.14,1988-11-12,2013,408,44
834,Julienne Jado,49106.43,2006-10-30,1992,383,57
835,Thacher Sunnex,33698.22,1967-10-10,2014,49,71
836,Lyndy Pettyfar,17672.46,1990-08-23,2013,375,50
837,Reed Bolton,30637.65,1983-12-16,2014,448,52
838,Janetta Tregea,49555.77,1989-07-25,2000,471,12
839,Del Wicklen,35035.84,2007-09-19,2014,364,10
840,Roland McPharlain,30267.15,2008-07-31,1992,103,39
841,Vaclav Loynes,44848.66,1987-11-02,2004,34,28
842,Moshe Branscomb,44398.32,1991-11-06,2003,25,67
843,Stella Leggan,46393.2,1967-02-19,1988,244,14
844,Malinde Cassells,30127.39,1997-02-18,1979,477,13
845,Waylon Jatczak,35565.9,1994-03-02,2009,385,30
846,Hazlett Amesbury,21306.67,1976-04-23,1992,14,43
847,Lacey Frisch,44732.77,1980-10-03,1992,231,74
848,Alethea Sapsford,14830.13,2013-07-05,2010,250,5
849,Carolus Wysome,16455.19,1995-08-07,1987,389,58
850,Wilhelmina Accum,37643.0,2008-03-15,1984,444,13
851,Bekki Hassey,21012.81,1966-02-05,1978,476,47
852,Ernestine Naseby,39684.09,1987-08-29,1983,224,11
853,Terry Bretherick,37262.65,2009-08-24,1983,399,56
854,Rolland Liccardo,42857.05,1995-07-02,1979,240,60
855,Lelia MacKibbon,42655.16,1972-11-15,2003,85,38
856,Powell Hannaway,45996.31,1978-09-26,2006,269,32
857,Sandor Critchard,30793.62,1961-05-12,1996,132,7
858,Thibaut Cardozo,46998.7,2000-05-24,2018,6,65
859,Tiebold Jagson,45636.62,1967-10-05,1982,152,11
860,Rance Flores,49722.42,1969-08-23,2015,209,16
861,Alford Ansell,21918.39,1986-06-08,1991,337,63
862,Donall Grunnell,26662.59,1995-11-06,2004,154,21
863,Shelby Nekrews,32215.36,2012-10-19,2004,10,51
864,Dene Latey,20352.74,1978-08-04,2013,361,63
865,Richie Simmen,23582.42,2014-03-06,2002,500,17
866,Oralee Barwack,17069.32,1990-12-14,1978,64,59
867,Annmaria Lissett,13324.67,1990-02-11,1978,211,69
868,Ferrel Sollas,45784.31,1963-06-23,2004,308,50
869,Nyssa Portman,17039.02,2002-05-19,2004,164,40
870,Martin Lusk,33683.63,2000-02-20,1993,203,34
871,Allie Breckin,40758.99,1994-04-16,2012,486,75
872,Vassili Winship,16813.58,2013-09-14,2021,404,59
873,Mil Alcorn,35802.88,1961-11-25,1988,292,36
874,Hyacinth Stryde,49962.77,1968-03-28,2021,222,24
875,Bendix Northway,33442.56,1968-08-21,1990,231,60
876,Dyana Bowring,49177.41,1996-10-21,1992,186,42
877,Twyla Fonso,44227.64,1991-01-11,1998,459,1
878,Kendra Edwins,41263.38,1993-03-21,2008,107,29
879,Alica Renneke,43627.65,1963-04-05,1985,157,67
880,Marjy Gillanders,11693.89,1973-07-22,2012,71,61
881,Lottie Gilroy,17253.57,2011-07-11,1991,332,10
882,Eddy Palfree,15381.48,1976-02-17,1987,464,46
883,Steffen Sillick,16897.74,1994-11-18,1997,354,3
884,Carole Gell,45084.37,1988-09-14,2003,4,10
885,Brannon Corradetti,48239.62,1962-01-22,1979,240,24
886,Jelene Noen,18479.74,1966-02-25,2003,224,4
887,Marthena Piatkow,26155.08,1973-04-25,2013,368,28
888,Yasmeen McNevin,13741.04,1979-05-04,1976,343,1
889,Libbie Bedlington,25688.66,1989-04-17,1988,445,67
890,Titos Dobbing,19705.45,2012-11-21,2016,95,70
891,Kerrie Mothersole,26424.69,1998-10-27,1976,338,34
892,Flin Klassman,34221.77,1963-09-07,1976,215,53
893,Erminia Accum,33780.72,2010-05-11,1987,261,2
894,Aeriell Andreoletti,23376.12,1961-09-07,2011,351,24
895,Mariana Leppingwell,20578.67,1968-12-18,2018,50,52
896,Merilee Scamadin,18421.73,1963-11-19,1975,14,56
897,Corrinne Goulden,10449.99,1991-01-30,2015,92,64
898,Dell Rubury,27510.91,1987-12-03,2004,499,6
899,Sari Piercy,13365.07,1993-04-24,2007,151,64
900,Felicdad Huband,26591.34,2011-04-26,2017,344,5
901,Harley Oldroyd,31861.1,1979-04-12,1976,475,14
902,Julianne Batman,25226.16,1980-11-14,1982,279,7
903,Leeanne Paty,15029.78,1988-06-21,1984,414,54
904,Phillipe Easdon,13487.87,1970-10-26,2010,341,18
905,Olag Dytham,21362.11,1981-01-12,1981,100,71
906,Misti Belverstone,19960.09,1969-08-31,1991,493,63
907,Emera Truter,16065.97,1996-09-12,1994,240,24
908,Karoline Harkess,12168.45,1991-02-22,1984,359,37
909,Shoshanna Popeley,43517.67,2000-08-11,1980,266,20
910,Tiff Ruzek,16959.93,1962-01-16,1979,251,57
911,Zechariah De Filippis,46760.78,1974-02-01,2004,140,34
912,Sasha Shawyer,22545.91,1995-10-18,1976,340,9
913,Les Daens,16926.69,1963-09-02,1979,19,20
914,Urbano Klais,41693.59,1996-10-06,2012,483,14
915,Mellicent Haselwood,45650.19,2007-01-22,2016,88,13
916,Charlean Carwithan,45703.34,1970-05-27,2012,44,74
917,Tildy Rouge,42473.9,1964-04-12,1979,374,43
918,Dion Folliott,30764.19,1973-12-19,1990,22,49
919,Raddie Hogsden,22512.74,1974-11-21,1983,304,3
920,Dione Stimson,48150.63,1987-07-10,1993,195,39
